['ERROR]2023-05-15 13:17:15,309(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-Error - You can not divide a number by zero
['INFO ]2023-05-15 13:17:15,317(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-Info  - Addition of integers
['WARN ]2023-05-15 13:17:15,317(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-Warning - Testing
['INFO ]2023-05-16 06:00:40,271(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-start
['INFO ]2023-05-22 11:07:46,415(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Test is running on ChromeDriver: chrome on WINDOWS (c09083314122ae7d942cf92618737441)
['INFO ]2023-05-22 11:07:46,421(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Driver is Initialized
['INFO ]2023-05-22 11:07:48,187(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Get Started link on homepage without login
['WARN ]2023-05-22 11:07:48,222(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user get warning message
['INFO ]2023-05-22 11:07:50,017(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user select options from dropbox menu on homepage without login
['WARN ]2023-05-22 11:07:50,041(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user get warning message
['INFO ]2023-05-22 11:07:52,183(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:07:57,525(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:07:57,774(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signIn link on Home page
['INFO ]2023-05-22 11:07:57,929(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Login Page
['INFO ]2023-05-22 11:08:02,346(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered login details from Excel sheet
['ERROR]2023-05-22 11:08:02,368(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Invalid user login 
['INFO ]2023-05-22 11:08:04,542(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:08:04,749(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signIn link on Home page
['INFO ]2023-05-22 11:08:04,951(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Login Page
['INFO ]2023-05-22 11:15:15,391(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Test is running on ChromeDriver: chrome on WINDOWS (7b37b74999742fdfbb0ed9e2eb63768c)
['INFO ]2023-05-22 11:15:15,393(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Driver is Initialized
['INFO ]2023-05-22 11:15:15,429(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User launches the Chrome browser
['INFO ]2023-05-22 11:15:15,925(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user opens DS Algo portal link
['INFO ]2023-05-22 11:15:16,847(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks the Get Started button
